,Rank,Title,Studio,Opening,%_of_total,No_of_Theaters,Date**,Month,Year,ave_opening_by_studio,Studio_value
0,1,Avengers: Infinity War,BV,257698183,38.30%,4474,4/27/18,4,2018,104914271.0,4
1,2,Star Wars: The Force Awakens,BV,247966675,26.50%,4134,12/18/15,12,2015,104914271.0,4
2,3,Star Wars: The Last Jedi,BV,220009584,35.50%,4232,12/15/17,12,2017,104914271.0,4
3,4,Jurassic World,Uni.,208806270,32.00%,4274,6/12/15,6,2015,77343886.0,3
4,5,Marvel's The Avengers,BV,207438708,33.30%,4349,5/4/12,5,2012,104914271.0,4
5,6,Black Panther,BV,202003951,28.90%,4020,2/16/18,2,2018,104914271.0,4
6,7,Avengers: Age of Ultron,BV,191271109,41.70%,4276,5/1/15,5,2015,104914271.0,4
7,8,Incredibles 2,BV,182687905,41.50%,4410,6/15/18,6,2018,104914271.0,4
8,9,Captain America: Civil War,BV,179139142,43.90%,4226,5/6/16,5,2016,104914271.0,4
9,10,Beauty and the Beast (2017),BV,174750616,34.70%,4210,3/17/17,3,2017,104914271.0,4
10,11,Iron Man 3,BV,174144585,42.60%,4253,5/3/13,5,2013,104914271.0,4
11,12,Harry Potter and the Deathly Hallows Part 2,WB,169189427,44.40%,4375,7/15/11,7,2011,86199612.0,3
12,13,Batman v Superman: Dawn of Justice,WB,166007347,50.30%,4242,3/25/16,3,2016,86199612.0,3
13,14,The Dark Knight Rises,WB,160887295,35.90%,4404,7/20/12,7,2012,86199612.0,3
14,15,The Dark Knight,WB,158411483,29.70%,4366,7/18/08,7,2008,86199612.0,3
15,16,The Hunger Games: Catching Fire,LGF,158074286,37.20%,4163,11/22/13,11,2013,133793412.0,6
16,17,Rogue One: A Star Wars Story,BV,155081681,29.10%,4157,12/16/16,12,2016,104914271.0,4
17,18,The Hunger Games,LGF,152535747,37.40%,4137,3/23/12,3,2012,133793412.0,6
18,19,Spider-Man 3,Sony,151116516,44.90%,4252,5/4/07,5,2007,78030367.0,3
19,20,Jurassic World: Fallen Kingdom,Uni.,148024610,55.90%,4475,6/22/18,6,2018,77343886.0,3
20,21,Furious 7,Uni.,147187040,41.70%,4004,4/3/15,4,2015,77343886.0,3
21,22,Guardians of the Galaxy Vol. 2,BV,146510104,37.60%,4347,5/5/17,5,2017,104914271.0,4
22,23,The Twilight Saga: New Moon,Sum.,142839137,48.20%,4024,11/20/09,11,2009,103857832.0,4
23,24,The Twilight Saga: Breaking Dawn Part 2,LG/S,141067634,48.30%,4070,11/16/12,11,2012,82646354.0,3
24,25,The Twilight Saga: Breaking Dawn Part 1,Sum.,138122261,49.10%,4061,11/18/11,11,2011,103857832.0,4
