,Title,Studio,Opening,Date,Director
6,Avengers: Infinity War,BV,"$257,698,183",4/27/2018,"Anthony Russo, Joe Russo"
7,Star Wars: The Force Awakens,BV,"$247,966,675",12/18/2015,J.J. Abrams
8,Star Wars: The Last Jedi,BV,"$220,009,584",12/15/2017,Rian Johnson
9,Jurassic World,Uni.,"$208,806,270",6/12/2015,Colin Trevorrow
10,Marvel's The Avengers,BV,"$207,438,708",5/4/2012,
11,Black Panther,BV,"$202,003,951",2/16/2018,Ryan Coogler
12,Avengers: Age of Ultron,BV,"$191,271,109",5/1/2015,Joss Whedon
13,Incredibles 2,BV,"$182,687,905",6/15/2018,Brad Bird
14,Captain America: Civil War,BV,"$179,139,142",5/6/2016,"Anthony Russo, Joe Russo"
15,Beauty and the Beast (2017),BV,"$174,750,616",3/17/2017,
16,Iron Man 3,BV,"$174,144,585",5/3/2013,Shane Black
17,Harry Potter and the Deathly Hallows Part 2,WB,"$169,189,427",7/15/2011,David Yates
18,Batman v Superman: Dawn of Justice,WB,"$166,007,347",3/25/2016,Zack Snyder
19,The Dark Knight Rises,WB,"$160,887,295",7/20/2012,Christopher Nolan
20,The Dark Knight,WB,"$158,411,483",7/18/2008,Christopher Nolan
21,The Hunger Games: Catching Fire,LGF,"$158,074,286",11/22/2013,Francis Lawrence
22,Rogue One: A Star Wars Story,BV,"$155,081,681",12/16/2016,Gareth Edwards
23,The Hunger Games,LGF,"$152,535,747",3/23/2012,Gary Ross
24,Spider-Man 3,Sony,"$151,116,516",5/4/2007,Sam Raimi
25,Jurassic World: Fallen Kingdom,Uni.,"$148,024,610",6/22/2018,J.A. Bayona
26,Furious 7,Uni.,"$147,187,040",4/3/2015,James Wan
27,Guardians of the Galaxy Vol. 2,BV,"$146,510,104",5/5/2017,James Gunn
28,The Twilight Saga: New Moon,Sum.,"$142,839,137",11/20/2009,Chris Weitz
29,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$141,067,634",11/16/2012,Bill Condon
30,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$138,122,261",11/18/2011,Bill Condon
31,Pirates of the Caribbean: Dead Man's Chest,BV,"$135,634,554",7/7/2006,
32,Finding Dory,BV,"$135,060,273",6/17/2016,"Andrew Stanton, Angus MacLane(co-director)"
33,Suicide Squad,WB,"$133,682,248",8/5/2016,David Ayer
34,Deadpool,Fox,"$132,434,639",2/12/2016,Tim Miller
35,Iron Man 2,Par.,"$128,122,480",5/7/2010,Jon Favreau
36,Deadpool 2,Fox,"$125,507,153",5/18/2018,David Leitch
37,Harry Potter and the Deathly Hallows Part 1,WB,"$125,017,372",11/19/2010,David Yates
38,It,WB (NL),"$123,403,419",9/8/2017,Andy Muschietti
39,Thor: Ragnarok,BV,"$122,744,989",11/3/2017,Taika Waititi
40,The Hunger Games: Mockingjay - Part 1,LGF,"$121,897,634",11/21/2014,Francis Lawrence
41,Shrek the Third,P/DW,"$121,629,270",5/18/2007,"Chris Miller, Raman Hui(co-director)"
42,Spider-Man: Homecoming,Sony,"$117,027,503",7/7/2017,Jon Watts
43,Man of Steel,WB,"$116,619,362",6/14/2013,Zack Snyder
44,Alice in Wonderland (2010),BV,"$116,101,023",3/5/2010,
45,Minions,Uni.,"$115,718,405",7/10/2015,"Kyle Balda, Pierre Coffin"
46,Spider-Man,Sony,"$114,844,116",5/3/2002,Sam Raimi
47,Pirates of the Caribbean: At World's End,BV,"$114,732,820",5/25/2007,
48,Toy Story 3,BV,"$110,307,189",6/18/2010,Lee Unkrich
49,Transformers: Revenge of the Fallen,P/DW,"$108,966,307",6/24/2009,Michael Bay
50,Star Wars: Episode III - Revenge of the Sith,Fox,"$108,435,841",5/19/2005,George Lucas
51,Shrek 2,DW,"$108,037,878",5/19/2004,"Andrew Adamson, Kelly Asbury, Conrad Vernon"
52,The Secret Life of Pets,Uni.,"$104,352,905",7/8/2016,"Chris Renaud, Yarrow Cheney(co-director)"
53,The Jungle Book (2016),BV,"$103,261,464",4/15/2016,
54,Wonder Woman,WB,"$103,251,471",6/2/2017,Patty Jenkins
55,X-Men: The Last Stand,Fox,"$102,750,665",5/26/2006,Brett Ratner
56,Harry Potter and the Goblet of Fire,WB,"$102,685,961",11/18/2005,Mike Newell
57,The Hunger Games: Mockingjay - Part 2,LGF,"$102,665,981",11/20/2015,Francis Lawrence
58,Indiana Jones and the Kingdom of the Crystal Skull,Par.,"$100,137,835",5/22/2008,Steven Spielberg
59,Transformers: Age of Extinction,Par.,"$100,038,390",6/27/2014,Michael Bay
60,The Fate of the Furious,Uni.,"$98,786,705",4/14/2017,F. Gary Gray
61,Iron Man,Par.,"$98,618,668",5/2/2008,Jon Favreau
62,Transformers: Dark of the Moon,P/DW,"$97,852,865",6/29/2011,Michael Bay
63,Fast & Furious 6,Uni.,"$97,375,245",5/24/2013,Justin Lin
64,Captain America: The Winter Soldier,BV,"$95,023,721",4/4/2014,"Anthony Russo, Joe Russo"
65,Guardians of the Galaxy,BV,"$94,320,883",8/1/2014,James Gunn
66,Justice League,WB,"$93,842,239",11/17/2017,Zack Snyder
67,Harry Potter and the Prisoner of Azkaban,WB,"$93,687,367",6/4/2004,Alfonso Cuarón
68,Godzilla (2014),WB,"$93,188,384",5/16/2014,
69,The Matrix Reloaded,WB,"$91,774,413",5/15/2003,"Lana Wachowski, Lilly Wachowski"
70,The Amazing Spider-Man 2,Sony,"$91,608,337",5/2/2014,Marc Webb
71,X-Men: Days of Future Past,Fox,"$90,823,660",5/23/2014,Bryan Singer
72,Inside Out,BV,"$90,440,272",6/19/2015,"Pete Docter, Ronnie Del Carmen(co-director)"
73,Harry Potter and the Sorcerer's Stone,WB,"$90,294,621",11/16/2001,
74,Pirates of the Caribbean: On Stranger Tides,BV,"$90,151,958",5/20/2011,Rob Marshall
75,American Sniper,WB,"$89,269,066",1/16/2015,Clint Eastwood
76,Logan,Fox,"$88,411,916",3/3/2017,James Mangold
77,Skyfall,Sony,"$88,364,714",11/9/2012,Sam Mendes
78,Harry Potter and the Chamber of Secrets,WB,"$88,357,488",11/15/2002,Chris Columbus
79,Spider-Man 2,Sony,"$88,156,227",6/30/2004,Sam Raimi
80,Fast Five,Uni.,"$86,198,765",4/29/2011,Justin Lin
81,The Hangover Part II,WB,"$85,946,294",5/26/2011,Todd Phillips
82,Thor: The Dark World,BV,"$85,737,841",11/8/2013,Alan Taylor
83,X2: X-Men United,Fox,"$85,558,731",5/2/2003,
84,Fifty Shades of Grey,Uni.,"$85,171,450",2/13/2015,Sam Taylor-Johnson
85,Doctor Strange,BV,"$85,058,311",11/4/2016,Scott Derrickson
86,X-Men Origins: Wolverine,Fox,"$85,058,003",5/1/2009,Gavin Hood
87,The Hobbit: An Unexpected Journey,WB (NL),"$84,617,303",12/14/2012,Peter Jackson
88,Solo: A Star Wars Story,BV,"$84,420,489",5/25/2018,Ron Howard
89,The Passion of the Christ,NM,"$83,848,082",2/25/2004,Mel Gibson
90,Despicable Me 2,Uni.,"$83,517,315",7/3/2013,"Pierre Coffin, Chris Renaud"
91,Monsters University,BV,"$82,429,469",6/21/2013,Dan Scanlon
92,Star Wars: Episode II - Attack of the Clones,Fox,"$80,027,814",5/16/2002,George Lucas
93,Oz The Great and Powerful,BV,"$79,110,453",3/8/2013,Sam Raimi
94,Harry Potter and the Half-Blood Prince,WB,"$77,835,727",7/15/2009,David Yates
95,I Am Legend,WB,"$77,211,321",12/14/2007,Francis Lawrence
96,Harry Potter and the Order of the Phoenix,WB,"$77,108,414",7/11/2007,David Yates
97,The Da Vinci Code,Sony,"$77,073,388",5/19/2006,Ron Howard
98,Avatar,Fox,"$77,025,481",12/18/2009,James Cameron
99,Star Trek,Par.,"$75,204,289",5/8/2009,J.J. Abrams
100,Zootopia,BV,"$75,063,401",3/4/2016,"Byron Howard, Rich Moore, Jared Bush(co-director)"
101,Fantastic Beasts and Where To Find Them,WB,"$74,403,387",11/18/2016,David Yates
102,The Simpsons Movie,Fox,"$74,036,787",7/27/2007,David Silverman
103,The Hobbit: The Desolation of Smaug,WB (NL),"$73,645,197",12/13/2013,Peter Jackson
104,Austin Powers in Goldmember,NL,"$73,071,188",7/26/2002,Jay Roach
105,The Lord of the Rings: The Return of the King,NL,"$72,629,713",12/17/2003,Peter Jackson
106,Dawn of the Planet of the Apes,Fox,"$72,611,427",7/11/2014,Matt Reeves
107,Despicable Me 3,Uni.,"$72,434,025",6/30/2017,"Kyle Balda, Pierre Coffin, Eric Guillon(co-director)"
108,The Lost World: Jurassic Park,Uni.,"$72,132,785",5/23/1997,Steven Spielberg
109,Fast and Furious,Uni.,"$70,950,500",4/3/2009,Busby Berkeley
110,300,WB,"$70,885,301",3/9/2007,Zack Snyder
111,Shrek Forever After,P/DW,"$70,838,207",5/21/2010,Mike Mitchell
112,Transformers,P/DW,"$70,502,384",7/3/2007,Michael Bay
113,The Incredibles,BV,"$70,467,623",11/5/2004,Brad Bird
114,Spectre,Sony,"$70,403,148",11/6/2015,Sam Mendes
115,Finding Nemo,BV,"$70,251,710",5/30/2003,"Andrew Stanton, Lee Unkrich(co-director)"
116,Dr. Seuss' The Lorax,Uni.,"$70,217,070",3/2/2012,
117,Star Trek Into Darkness,Par.,"$70,165,559",5/16/2013,J.J. Abrams
118,Twilight,Sum.,"$69,637,740",11/21/2008,Catherine Hardwicke
