,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year
0,Avengers: Infinity War,BV,"$257,698,183 ",4/27/18,"Anthony Russo, Joe Russo","$321,000,000 ",tt4154756,4,2018
1,Star Wars: The Force Awakens,BV,"$247,966,675 ",12/18/15,J.J. Abrams,"$245,000,000 ",tt2488496,12,2015
2,Star Wars: The Last Jedi,BV,"$220,009,584 ",12/15/17,Rian Johnson," $620,181,382, 19 April 2018",tt2527336,12,2017
3,Jurassic World,Uni.,"$208,806,270 ",6/12/15,Colin Trevorrow,"$150,000,000 ",tt0369610,6,2015
4,Marvel's The Avengers,BV,"$207,438,708 ",5/4/12,,,,5,2012
5,Black Panther,BV,"$202,003,951 ",2/16/18,Ryan Coogler,"$200,000,000 ",tt1825683,2,2018
6,Avengers: Age of Ultron,BV,"$191,271,109 ",5/1/15,Joss Whedon,"$250,000,000 ",tt2395427,5,2015
7,Incredibles 2,BV,"$182,687,905 ",6/15/18,Brad Bird,"$200,000,000 ",tt3606756,6,2018
8,Captain America: Civil War,BV,"$179,139,142 ",5/6/16,"Anthony Russo, Joe Russo","$250,000,000 ",tt3498820,5,2016
9,Beauty and the Beast (2017),BV,"$174,750,616 ",3/17/17,,,,3,2017
10,Iron Man 3,BV,"$174,144,585 ",5/3/13,Shane Black,"$200,000,000 ",tt1300854,5,2013
11,Harry Potter and the Deathly Hallows Part 2,WB,"$169,189,427 ",7/15/11,David Yates,"$125,000,000 ",tt1201607,7,2011
12,Batman v Superman: Dawn of Justice,WB,"$166,007,347 ",3/25/16,Zack Snyder,"$250,000,000 ",tt2975590,3,2016
13,The Dark Knight Rises,WB,"$160,887,295 ",7/20/12,Christopher Nolan,"$250,000,000 ",tt1345836,7,2012
14,The Dark Knight,WB,"$158,411,483 ",7/18/08,Christopher Nolan,"$185,000,000 ",tt0468569,7,2008
15,The Hunger Games: Catching Fire,LGF,"$158,074,286 ",11/22/13,Francis Lawrence,"$130,000,000 ",tt1951264,11,2013
16,Rogue One: A Star Wars Story,BV,"$155,081,681 ",12/16/16,Gareth Edwards,"$200,000,000 ",tt3748528,12,2016
17,The Hunger Games,LGF,"$152,535,747 ",3/23/12,Gary Ross,"$78,000,000 ",tt1392170,3,2012
18,Spider-Man 3,Sony,"$151,116,516 ",5/4/07,Sam Raimi,"$258,000,000 ",tt0413300,5,2007
19,Jurassic World: Fallen Kingdom,Uni.,"$148,024,610 ",6/22/18,J.A. Bayona,"$170,000,000 ",tt4881806,6,2018
20,Furious 7,Uni.,"$147,187,040 ",4/3/15,James Wan,"$190,000,000 ",tt2820852,4,2015
21,Guardians of the Galaxy Vol. 2,BV,"$146,510,104 ",5/5/17,James Gunn,"$200,000,000 ",tt3896198,5,2017
