,Unnamed: 0,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,ticket_price
0,,Avengers: Infinity War,BV,257698183.0,4/27/18,"Anthony Russo, Joe Russo",321000000.0,tt4154756,Apr,2018,
1,Jan,Star Wars: The Force Awakens,BV,247966675.0,12/18/15,J.J. Abrams,245000000.0,tt2488496,Dec,2015,$8.43 
2,Feb,Star Wars: The Last Jedi,BV,220009584.0,12/15/17,Rian Johnson,620181382.0,tt2527336,Dec,2017,$8.97 
3,Mar,Jurassic World,Uni.,208806270.0,6/12/15,Colin Trevorrow,150000000.0,tt0369610,Jun,2015,$8.43 
4,Apr,Marvel's The Avengers,BV,207438708.0,5/4/12,,,,May,2012,$7.96 
5,May,Black Panther,BV,202003951.0,2/16/18,Ryan Coogler,200000000.0,tt1825683,Feb,2018,
6,Jun,Avengers: Age of Ultron,BV,191271109.0,5/1/15,Joss Whedon,250000000.0,tt2395427,May,2015,$8.43 
7,July,Incredibles 2,BV,182687905.0,6/15/18,Brad Bird,200000000.0,tt3606756,Jun,2018,
8,Aug,Captain America: Civil War,BV,179139142.0,5/6/16,"Anthony Russo, Joe Russo",250000000.0,tt3498820,May,2016,$8.65 
9,Sept,Beauty and the Beast (2017),BV,174750616.0,3/17/17,,,,Mar,2017,$8.97 
10,Oct,Iron Man 3,BV,174144585.0,5/3/13,Shane Black,200000000.0,tt1300854,May,2013,$8.13 
11,Nov,Harry Potter and the Deathly Hallows Part 2,WB,169189427.0,7/15/11,David Yates,125000000.0,tt1201607,July,2011,$7.93 
12,Dec,Batman v Superman: Dawn of Justice,WB,166007347.0,3/25/16,Zack Snyder,250000000.0,tt2975590,Mar,2016,$8.65 
13,13,The Dark Knight Rises,WB,160887295.0,7/20/12,Christopher Nolan,250000000.0,tt1345836,July,2012,$7.96 
14,14,The Dark Knight,WB,158411483.0,7/18/08,Christopher Nolan,185000000.0,tt0468569,July,2008,$7.18 
15,15,The Hunger Games: Catching Fire,LGF,158074286.0,11/22/13,Francis Lawrence,130000000.0,tt1951264,Nov,2013,$8.13 
16,16,Rogue One: A Star Wars Story,BV,155081681.0,12/16/16,Gareth Edwards,200000000.0,tt3748528,Dec,2016,$8.65 
17,17,The Hunger Games,LGF,152535747.0,3/23/12,Gary Ross,78000000.0,tt1392170,Mar,2012,$7.96 
18,18,Spider-Man 3,Sony,151116516.0,5/4/07,Sam Raimi,258000000.0,tt0413300,May,2007,$6.88 
19,19,Jurassic World: Fallen Kingdom,Uni.,148024610.0,6/22/18,J.A. Bayona,170000000.0,tt4881806,Jun,2018,
20,20,Furious 7,Uni.,147187040.0,4/3/15,James Wan,190000000.0,tt2820852,Apr,2015,$8.43 
21,21,Guardians of the Galaxy Vol. 2,BV,146510104.0,5/5/17,James Gunn,200000000.0,tt3896198,May,2017,$8.97 
22,22,The Twilight Saga: New Moon,Sum.,142839137.0,11/20/09,Chris Weitz,50000000.0,tt1259571,Nov,2009,$7.50 
23,23,The Twilight Saga: Breaking Dawn Part 2,LG/S,141067634.0,11/16/12,Bill Condon,120000000.0,tt1673434,Nov,2012,$7.96 
24,24,The Twilight Saga: Breaking Dawn Part 1,Sum.,138122261.0,11/18/11,,,tt2395475,Nov,2011,$7.93 
25,25,Pirates of the Caribbean: Dead Man's Chest,BV,135634554.0,7/7/06,,,,July,2006,$6.55 
26,26,Finding Dory,BV,135060273.0,6/17/16,"Andrew Stanton, Angus MacLane(co-director)",200000000.0,tt2277860,Jun,2016,$8.65 
27,27,Suicide Squad,WB,133682248.0,8/5/16,David Ayer,175000000.0,tt1386697,Aug,2016,$8.65 
28,28,Deadpool,Fox,132434639.0,2/12/16,Tim Miller,58000000.0,tt1431045,Feb,2016,$8.65 
29,29,Iron Man 2,Par.,128122480.0,5/7/10,Jon Favreau,200000000.0,tt1228705,May,2010,$7.89 
30,30,Deadpool 2,Fox,125507153.0,5/18/18,David Leitch,110000000.0,tt5463162,May,2018,
31,32,It,WB (NL),123403419.0,9/8/17,Andy Muschietti,35000000.0,tt1396484,Sept,2017,$8.97 
32,33,Thor: Ragnarok,BV,122744989.0,11/3/17,Taika Waititi,180000000.0,tt3501632,Nov,2017,$8.97 
33,34,The Hunger Games: Mockingjay - Part 1,LGF,121897634.0,11/21/14,Francis Lawrence,125000000.0,tt1951265,Nov,2014,$8.17 
34,35,Shrek the Third,P/DW,121629270.0,5/18/07,"Chris Miller, Raman Hui(co-director)",121629270.0,tt0413267,May,2007,$6.88 
35,36,Spider-Man: Homecoming,Sony,117027503.0,7/7/17,Jon Watts,175000000.0,tt2250912,July,2017,$8.97 
36,37,Man of Steel,WB,116619362.0,6/14/13,Zack Snyder,225000000.0,tt0770828,Jun,2013,$8.13 
37,38,Alice in Wonderland (2010),BV,116101023.0,3/5/10,,,,Mar,2010,$7.89 
38,39,Minions,Uni.,115718405.0,7/10/15,"Kyle Balda, Pierre Coffin",115200000.0,tt2293640,July,2015,$8.43 
39,40,Spider-Man,Sony,114844116.0,5/3/02,Sam Raimi,139000000.0,tt0145487,May,2002,$5.80 
40,41,Pirates of the Caribbean: At World's End,BV,114732820.0,5/25/07,,,,May,2007,$6.88 
41,42,Toy Story 3,BV,110307189.0,6/18/10,Lee Unkrich,200000000.0,tt0435761,Jun,2010,$7.89 
42,43,Transformers: Revenge of the Fallen,P/DW,108966307.0,6/24/09,Michael Bay,200000000.0,tt1055369,Jun,2009,$7.50 
43,44,Star Wars: Episode III - Revenge of the Sith,Fox,108435841.0,5/19/05,George Lucas,113000000.0,tt0121766,May,2005,$6.41 
44,45,Shrek 2,DW,108037878.0,5/19/04,"Andrew Adamson, Kelly Asbury, Conrad Vernon",108037878.0,tt0298148,May,2004,$6.21 
45,46,The Secret Life of Pets,Uni.,104352905.0,7/8/16,"Chris Renaud, Yarrow Cheney(co-director)",104352905.0,tt2709768,July,2016,$8.65 
46,47,The Jungle Book (2016),BV,103261464.0,4/15/16,,,,Apr,2016,$8.65 
47,48,Wonder Woman,WB,103251471.0,6/2/17,Patty Jenkins,149000000.0,tt0451279,Jun,2017,$8.97 
48,49,X-Men: The Last Stand,Fox,102750665.0,5/26/06,Brett Ratner,210000000.0,tt0376994,May,2006,$6.55 
49,50,Harry Potter and the Goblet of Fire,WB,102685961.0,11/18/05,Mike Newell,150000000.0,tt0330373,Nov,2005,$6.41 
50,51,The Hunger Games: Mockingjay - Part 2,LGF,102665981.0,11/20/15,Francis Lawrence,160000000.0,tt1951266,Nov,2015,$8.43 
51,52,Indiana Jones and the Kingdom of the Crystal Skull,Par.,100137835.0,5/22/08,Steven Spielberg,185000000.0,tt0367882,May,2008,$7.18 
52,53,Transformers: Age of Extinction,Par.,100038390.0,6/27/14,Michael Bay,210000000.0,tt2109248,Jun,2014,$8.17 
53,54,The Fate of the Furious,Uni.,98786705.0,4/14/17,F. Gary Gray,250000000.0,tt4630562,Apr,2017,$8.97 
54,55,Iron Man,Par.,98618668.0,5/2/08,Jon Favreau,140000000.0,tt0371746,May,2008,$7.18 
55,56,Transformers: Dark of the Moon,P/DW,97852865.0,6/29/11,Michael Bay,195000000.0,tt1399103,Jun,2011,$7.93 
56,57,Fast & Furious 6,Uni.,97375245.0,5/24/13,Justin Lin,160000000.0,tt1905041,May,2013,$8.13 
57,58,Captain America: The Winter Soldier,BV,95023721.0,4/4/14,"Anthony Russo, Joe Russo",170000000.0,tt1843866,Apr,2014,$8.17 
58,59,Guardians of the Galaxy,BV,94320883.0,8/1/14,James Gunn,170000000.0,tt2015381,Aug,2014,$8.17 
59,60,Justice League,WB,93842239.0,11/17/17,Zack Snyder,300000000.0,tt0974015,Nov,2017,$8.97 
60,61,Harry Potter and the Prisoner of Azkaban,WB,93687367.0,6/4/04,Alfonso Cuarón,130000000.0,tt0304141,Jun,2004,$6.21 
61,62,Godzilla (2014),WB,93188384.0,5/16/14,,,,May,2014,$8.17 
62,63,The Matrix Reloaded,WB,91774413.0,5/15/03,"Lana Wachowski, Lilly Wachowski",7241362.0,tt0234215,May,2003,$6.03 
63,64,The Amazing Spider-Man 2,Sony,91608337.0,5/2/14,Marc Webb,200000000.0,tt1872181,May,2014,$8.17 
64,65,X-Men: Days of Future Past,Fox,90823660.0,5/23/14,Bryan Singer,200000000.0,tt1877832,May,2014,$8.17 
65,66,Inside Out,BV,90440272.0,6/19/15,"Pete Docter, Ronnie Del Carmen(co-director)",175000000.0,tt2096673,Jun,2015,$8.43 
66,67,Harry Potter and the Sorcerer's Stone,WB,90294621.0,11/16/01,,,,Nov,2001,$5.65 
67,68,Pirates of the Caribbean: On Stranger Tides,BV,90151958.0,5/20/11,Rob Marshall,90151958.0,tt1298650,May,2011,$7.93 
68,69,American Sniper,WB,89269066.0,1/16/15,Clint Eastwood,58800000.0,tt2179136,Jan,2015,$8.43 
69,70,Logan,Fox,88411916.0,3/3/17,James Mangold,97000000.0,tt3315342,Mar,2017,$8.97 
70,72,Harry Potter and the Chamber of Secrets,WB,88357488.0,11/15/02,Chris Columbus,100000000.0,tt0295297,Nov,2002,$5.80 
71,73,Spider-Man 2,Sony,88156227.0,6/30/04,Sam Raimi,200000000.0,tt0316654,Jun,2004,$6.21 
72,74,Fast Five,Uni.,86198765.0,4/29/11,Justin Lin,125000000.0,tt1596343,Apr,2011,$7.93 
73,75,The Hangover Part II,WB,85946294.0,5/26/11,Todd Phillips,80000000.0,tt1411697,May,2011,$7.93 
74,76,Thor: The Dark World,BV,85737841.0,11/8/13,Alan Taylor,170000000.0,tt1981115,Nov,2013,$8.13 
75,77,X2: X-Men United,Fox,85558731.0,5/2/03,,,,May,2003,$6.03 
76,78,Fifty Shades of Grey,Uni.,85171450.0,2/13/15,Sam Taylor-Johnson,40000000.0,tt2322441,Feb,2015,$8.43 
77,79,Doctor Strange,BV,85058311.0,11/4/16,Scott Derrickson,165000000.0,tt1211837,Nov,2016,$8.65 
78,80,X-Men Origins: Wolverine,Fox,85058003.0,5/1/09,,,,May,2009,$7.50 
79,81,The Hobbit: An Unexpected Journey,WB (NL),84617303.0,12/14/12,Peter Jackson,180000000.0,tt0903624,Dec,2012,$7.96 
